lead_id,country,stage,stage_order,won,is_closed
581,UAE,outreach,1,0,0
582,UAE,outreach,1,0,0
583,UAE,outreach,1,0,0
584,UAE,outreach,1,0,0
585,UAE,outreach,1,0,0
586,UAE,outreach,1,0,0
587,UAE,outreach,1,0,0
588,UAE,outreach,1,0,0
589,UAE,outreach,1,0,0
590,UAE,outreach,1,0,0
591,UAE,outreach,1,0,0
592,UAE,outreach,1,0,0
593,UAE,outreach,1,0,0
594,UAE,outreach,1,0,0
595,UAE,outreach,1,0,0
596,Bahrain,outreach,1,0,0
597,Bahrain,outreach,1,0,0
598,Bahrain,outreach,1,0,0
599,Bahrain,outreach,1,0,0
600,Bahrain,outreach,1,0,0
601,Bahrain,outreach,1,0,0
602,Bahrain,outreach,1,0,0
603,Bahrain,outreach,1,0,0
604,Bahrain,outreach,1,0,0
605,Bahrain,engagement,2,0,0
606,Saudi Arabia,engagement,2,0,0
607,Saudi Arabia,outreach,1,0,0
608,Saudi Arabia,outreach,1,0,0
609,Saudi Arabia,outreach,1,0,0
610,Saudi Arabia,outreach,1,0,0
611,UAE,outreach,1,0,0
612,Saudi Arabia,outreach,1,0,0
613,Qatar,outreach,1,0,0
614,Qatar,outreach,1,0,0
615,Qatar,outreach,1,0,0
616,Qatar,outreach,1,0,0
617,Qatar,outreach,1,0,0
618,Qatar,outreach,1,0,0
619,Qatar,outreach,1,0,0
620,Qatar,outreach,1,0,0
621,Qatar,outreach,1,0,0
622,Qatar,outreach,1,0,0
623,Qatar,outreach,1,0,0
624,Morocco,outreach,1,0,0
625,Morocco,outreach,1,0,0
626,Morocco,outreach,1,0,0
627,Morocco,outreach,1,0,0
628,Morocco,outreach,1,0,0
629,Morocco,outreach,1,0,0
630,Morocco,outreach,1,0,0
631,Morocco,engagement,2,0,0
632,Morocco,outreach,1,0,0
633,Morocco,meeting,3,0,0
634,Morocco,outreach,1,0,0
635,Morocco,outreach,1,0,0
636,Morocco,outreach,1,0,0
637,United Kingdom,outreach,1,0,0
638,UAE,outreach,1,0,0
639,UAE,outreach,1,0,0
640,UAE,outreach,1,0,0
641,UAE,outreach,1,0,0
642,UAE,outreach,1,0,0
643,UAE,outreach,1,0,0
644,UAE,outreach,1,0,0
645,Saudi Arabia,outreach,1,0,0
646,Saudi Arabia,outreach,1,0,0
647,Saudi Arabia,outreach,1,0,0
648,Saudi Arabia,outreach,1,0,0
649,Saudi Arabia,outreach,1,0,0
650,Saudi Arabia,outreach,1,0,0
651,Saudi Arabia,outreach,1,0,0
652,Saudi Arabia,outreach,1,0,0
653,Saudi Arabia,outreach,1,0,0
654,Saudi Arabia,outreach,1,0,0
655,Saudi Arabia,outreach,1,0,0
656,Saudi Arabia,outreach,1,0,0
657,Saudi Arabia,outreach,1,0,0
658,Saudi Arabia,outreach,1,0,0
659,Saudi Arabia,outreach,1,0,0
660,Saudi Arabia,engagement,2,0,0
661,Saudi Arabia,outreach,1,0,0
662,Saudi Arabia,outreach,1,0,0
663,Saudi Arabia,outreach,1,0,0
664,Saudi Arabia,outreach,1,0,0
665,Saudi Arabia,outreach,1,0,0
666,Saudi Arabia,outreach,1,0,0
667,Saudi Arabia,outreach,1,0,0
668,Saudi Arabia,outreach,1,0,0
669,Saudi Arabia,outreach,1,0,0
670,Saudi Arabia,outreach,1,0,0
671,UAE,outreach,1,0,0
672,UAE,outreach,1,0,0
673,UAE,outreach,1,0,0
674,UAE,outreach,1,0,0
675,Lebanon,outreach,1,0,0
